feature,anomaly_label,cell_diameter_um,nucleus_area_pct,chromatin_density,cytoplasm_ratio,circularity,eccentricity,granularity_score,lobularity_score,membrane_smoothness,cell_area_px,perimeter_px,mean_r,mean_g,mean_b,stain_intensity,wbc_count_per_ul,rbc_count_millions_per_ul,hemoglobin_g_dl,hematocrit_pct,platelet_count_per_ul,mcv_fl,mchc_g_dl,magnification_x,image_resolution_px,cytodiffusion_anomaly_score,cytodiffusion_classification_confidence,labeller_confidence_score
anomaly_label,1.0,0.03444993303072388,-0.044659892479429426,-0.22400616131586662,0.04509060871123384,-0.3870104669831612,0.3394912849359564,-0.2673086027833458,-0.0776616178971026,-0.14271467959298575,0.10414916413315098,0.19026404695833943,-0.05353595908068947,-0.21647802532945276,-0.09776391595273404,-0.04257095810364066,-0.013982378558500609,0.020662980536571264,0.0003377483534173737,0.0009656959056720634,-0.001988107423458203,-0.0005898745339729163,0.010143581845271482,0.020501638184093427,-0.003344821014959463,0.9817214014570083,-0.7232147504723114,-0.6318326985840215
cell_diameter_um,0.03444993303072388,1.0,0.6648883274884685,0.5290135528868979,-0.6641015269465332,0.06418186261953421,-0.010090706071238971,0.36552943966782203,0.38667653932001145,-0.15961119469236631,0.8874564822584377,0.8404545004314814,-0.2970961140313052,0.37280870313563685,0.483656197661919,0.3682830009413658,0.009970023850338525,0.022630873629681924,-0.00028675461539522367,-0.0091950316090276,0.0010588265462770931,-0.008767197662100008,-0.013320744748907315,-0.009207536391112627,-0.013110439620020085,0.03242854791191664,-0.028542154796649188,-0.02935225970221482
nucleus_area_pct,-0.044659892479429426,0.6648883274884685,1.0,0.8874605048047229,-0.9811132765178654,0.11529228609044365,-0.12327871268528325,0.284113362082151,0.23736242081639342,-0.1743015275977862,0.730498925601245,0.6792723740470953,-0.5959818313270605,0.5096560475429249,0.8247234001798588,0.7338178816314348,0.012980660453083768,0.01242216274286727,0.0106066703327745,-0.013798634867979259,0.01277584101882403,0.00026447314885478916,-0.009155442779481625,-0.007073475090105986,-0.0004924034397231039,-0.04778545361406545,0.0315933595012965,0.021581904188791984
chromatin_density,-0.22400616131586662,0.5290135528868979,0.8874605048047229,1.0,-0.8859847220731908,0.11754914364991394,-0.1090673425548986,0.4351810160071985,0.3433934358448738,-0.18243404968413157,0.543340689810162,0.4957596720156983,-0.503948857907302,0.5124052371485373,0.7587636104493161,0.7225939013376755,0.016537247426427672,0.002866183444902639,0.01738897298356382,-0.012579689359829628,0.017844613278026798,0.014310485386563454,0.0005748651803962813,-0.013293752471223858,0.0015483368533509227,-0.22225063422166383,0.16287758683720174,0.14014466999233674
cytoplasm_ratio,0.04509060871123384,-0.6641015269465332,-0.9811132765178654,-0.8859847220731908,1.0,-0.117116021855694,0.12241644366469263,-0.2835010373100106,-0.2399765027478081,0.17149700155365005,-0.729386734661534,-0.6767261648539118,0.5943162358291516,-0.5073034935184733,-0.8235387387684071,-0.7323411853828561,-0.014305339939894902,-0.008686959103369933,-0.012491750413164821,0.013275469529957106,-0.012691624361933423,-0.005387622064859049,0.007816750843128854,0.004236372754090162,-0.00036806608369031245,0.047917337779270756,-0.03442440349221267,-0.021528739211321375
circularity,-0.3870104669831612,0.06418186261953421,0.11529228609044365,0.11754914364991394,-0.117116021855694,1.0,-0.8040003204426074,-0.07614289477665175,-0.045670329528660895,0.5956571006490513,0.03662417697717845,-0.06208963822758639,-0.00806421765144337,0.07310853596053206,0.10070638393631483,0.09776317762614685,0.014119640131102255,0.009598469366775393,0.0030276512853034667,0.004999944762330604,-0.0042650071139234205,0.0007106351333487532,-0.03258337046646876,-0.02665497099760129,-0.008694531763355889,-0.38618860264779625,0.2672575547470068,0.24387255224156704
eccentricity,0.3394912849359564,-0.010090706071238971,-0.12327871268528325,-0.1090673425548986,0.12241644366469263,-0.8040003204426074,1.0,0.12997953123092676,0.11116071533021013,-0.5523257491159835,-0.007926409107641221,0.07399964594599427,0.048113629191797916,-0.04471509989839391,-0.11794965975235891,-0.12445096628400863,-0.008330343078429095,0.02236453157886783,0.0016735171952355667,-0.010111570603046025,-0.0034245015132534445,0.008628465770496578,0.026749032272140573,0.033732728734310914,0.010998038265345404,0.3365958292984373,-0.22836549326530486,-0.22242106142888116
granularity_score,-0.2673086027833458,0.36552943966782203,0.284113362082151,0.4351810160071985,-0.2835010373100106,-0.07614289477665175,0.12997953123092676,1.0,0.6502717452058795,-0.3975175819990964,0.34684452478594935,0.23390007186708986,-0.11496130116316022,0.36258627797915255,0.3477098175013013,0.2872390285000793,0.024848355576957186,0.0016698920925819745,0.004124312589449863,-0.020830989617068904,-0.002859982929886407,0.004787795760430508,-0.014681634682939902,-0.013059396521698586,0.012421008873779981,-0.2618795253347786,0.19413236802115355,0.15717162741904503
lobularity_score,-0.0776616178971026,0.38667653932001145,0.23736242081639342,0.3433934358448738,-0.2399765027478081,-0.045670329528660895,0.11116071533021013,0.6502717452058795,1.0,-0.2397582159280633,0.34322648193373734,0.27285608947032386,-0.07469745983234512,0.35166187537525606,0.28029870745777064,0.19692243901814932,0.017543185641611534,0.012076725704405301,0.004916653090705542,-0.017839917824647816,-0.005450068772460783,0.0008701692288433492,0.0003732371401382123,-0.007771306633330118,0.00042545730086796863,-0.07743899406597338,0.051649609312240316,0.03999534666903358
membrane_smoothness,-0.14271467959298575,-0.15961119469236631,-0.1743015275977862,-0.18243404968413157,0.17149700155365005,0.5956571006490513,-0.5523257491159835,-0.3975175819990964,-0.2397582159280633,1.0,-0.20595428396846271,-0.22099018838343046,0.1799306831294954,-0.17950832576788672,-0.2137528452560087,-0.13478684141143882,-0.01550075054308893,-0.0007433975229325621,-0.014273178993946116,0.010861765521454477,0.009929384186018256,-0.012297393018072663,0.002996435609570961,2.1607734745107077e-05,-0.015740360406899308,-0.14321342889709335,0.09490440467980034,0.1052024578925994
cell_area_px,0.10414916413315098,0.8874564822584377,0.730498925601245,0.543340689810162,-0.729386734661534,0.03662417697717845,-0.007926409107641221,0.34684452478594935,0.34322648193373734,-0.20595428396846271,1.0,0.8625516808142629,-0.3781338954716341,0.3905545360147214,0.5616971695820605,0.4309142518798406,0.0008370826708009152,0.018308806950731144,0.004541484806425713,-0.012224907504338545,-0.004875782167583781,-0.006523576770105124,-0.010806674420729901,-0.0019086270273431746,-0.003792775014495747,0.0999177817271608,-0.08067035067895284,-0.06923456907665716
perimeter_px,0.19026404695833943,0.8404545004314814,0.6792723740470953,0.4957596720156983,-0.6767261648539118,-0.06208963822758639,0.07399964594599427,0.23390007186708986,0.27285608947032386,-0.22099018838343046,0.8625516808142629,1.0,-0.3486817288000174,0.309371972515303,0.4898908156143243,0.3937405896315907,0.0011256540478736291,0.00767560193624703,0.009459821718781116,-0.014133896698269616,-0.011096484179136742,-0.013206030402647449,-0.010176700843335053,-0.005605347587188522,-0.004242940036566187,0.18520866603694724,-0.1319202684115088,-0.12260365260229043
mean_r,-0.05353595908068947,-0.2970961140313052,-0.5959818313270605,-0.503948857907302,0.5943162358291516,-0.00806421765144337,0.048113629191797916,-0.11496130116316022,-0.07469745983234512,0.1799306831294954,-0.3781338954716341,-0.3486817288000174,1.0,-0.3115086249622974,-0.5917488498570448,-0.4859065619121783,-0.016720359857558403,-0.0017478362837309597,-0.013166982258597512,0.0025380486639897874,-0.01288658206151962,-0.003073344925584098,0.0023407691441831168,0.018433442937327568,-0.01539379238801676,-0.051531882951794845,0.04082998330226749,0.0371941086945482
mean_g,-0.21647802532945276,0.37280870313563685,0.5096560475429249,0.5124052371485373,-0.5073034935184733,0.07310853596053206,-0.04471509989839391,0.36258627797915255,0.35166187537525606,-0.17950832576788672,0.3905545360147214,0.309371972515303,-0.3115086249622974,1.0,0.5182774272642381,0.3643694342870735,0.01778737730015352,0.02897988265135444,0.010282590613226322,-0.029016566050958915,-0.016572772701495177,0.014779093670948847,-0.013366411621921473,-0.028252985343096827,0.006888344404519008,-0.21581339582398743,0.150205302661673,0.13274205987964038
mean_b,-0.09776391595273404,0.483656197661919,0.8247234001798588,0.7587636104493161,-0.8235387387684071,0.10070638393631483,-0.11794965975235891,0.3477098175013013,0.28029870745777064,-0.2137528452560087,0.5616971695820605,0.4898908156143243,-0.5917488498570448,0.5182774272642381,1.0,0.6724245174787713,0.02270112139116589,0.006931073653156026,0.013008453306485954,-0.010677748741365305,0.013143079925713095,-0.0010244443261835218,-0.009368672446379097,-0.01447977497274652,0.012463900496794857,-0.10043149017997538,0.07667016319474979,0.047330531332051534
stain_intensity,-0.04257095810364066,0.3682830009413658,0.7338178816314348,0.7225939013376755,-0.7323411853828561,0.09776317762614685,-0.12445096628400863,0.2872390285000793,0.19692243901814932,-0.13478684141143882,0.4309142518798406,0.3937405896315907,-0.4859065619121783,0.3643694342870735,0.6724245174787713,1.0,0.010908170363972661,-0.006893417071394301,0.0008175707591731872,0.0027665970239761565,0.03670830839935517,0.024041222021629713,-0.0012568936933919801,0.00033723763318195153,0.0017677901700984182,-0.04267006150332959,0.03532463586563999,0.031054286421759364
wbc_count_per_ul,-0.013982378558500609,0.009970023850338525,0.012980660453083768,0.016537247426427672,-0.014305339939894902,0.014119640131102255,-0.008330343078429095,0.024848355576957186,0.017543185641611534,-0.01550075054308893,0.0008370826708009152,0.0011256540478736291,-0.016720359857558403,0.01778737730015352,0.02270112139116589,0.010908170363972661,1.0,-0.018086444548201224,0.01013002479688042,0.012007437441164734,-0.0012282409361675803,0.012084154686197123,-0.0058350004024579705,0.007231294008772389,0.0010982572487546068,-0.015295225656361131,0.017509854744494825,-0.003610767629965152
rbc_count_millions_per_ul,0.020662980536571264,0.022630873629681924,0.01242216274286727,0.002866183444902639,-0.008686959103369933,0.009598469366775393,0.02236453157886783,0.0016698920925819745,0.012076725704405301,-0.0007433975229325621,0.018308806950731144,0.00767560193624703,-0.0017478362837309597,0.02897988265135444,0.006931073653156026,-0.006893417071394301,-0.018086444548201224,1.0,0.022701693875670156,0.012098041420641846,0.00010027210392216184,-0.009352853295392906,0.0027890836456524646,0.006766314489144791,0.013741042125706694,0.020478603227618485,-0.020646728107108193,-0.020368472918266923
hemoglobin_g_dl,0.0003377483534173737,-0.00028675461539522367,0.0106066703327745,0.01738897298356382,-0.012491750413164821,0.0030276512853034667,0.0016735171952355667,0.004124312589449863,0.004916653090705542,-0.014273178993946116,0.004541484806425713,0.009459821718781116,-0.013166982258597512,0.010282590613226322,0.013008453306485954,0.0008175707591731872,0.01013002479688042,0.022701693875670156,1.0,-0.008743841392518104,0.006059014717397328,-0.010232566000925921,0.032462204214147465,-0.014246632174932942,-0.006681271278461159,0.0011729405192847982,-0.0026371145799203707,-0.005414707972250458
hematocrit_pct,0.0009656959056720634,-0.0091950316090276,-0.013798634867979259,-0.012579689359829628,0.013275469529957106,0.004999944762330604,-0.010111570603046025,-0.020830989617068904,-0.017839917824647816,0.010861765521454477,-0.012224907504338545,-0.014133896698269616,0.0025380486639897874,-0.029016566050958915,-0.010677748741365305,0.0027665970239761565,0.012007437441164734,0.012098041420641846,-0.008743841392518104,1.0,0.016113381205793396,-0.00712809835259619,0.026220978061379116,9.852265625804503e-05,-0.004478784687815447,0.0032946413868582846,0.020767890136299032,-0.010771085828019724
platelet_count_per_ul,-0.001988107423458203,0.0010588265462770931,0.01277584101882403,0.017844613278026798,-0.012691624361933423,-0.0042650071139234205,-0.0034245015132534445,-0.002859982929886407,-0.005450068772460783,0.009929384186018256,-0.004875782167583781,-0.011096484179136742,-0.01288658206151962,-0.016572772701495177,0.013143079925713095,0.03670830839935517,-0.0012282409361675803,0.00010027210392216184,0.006059014717397328,0.016113381205793396,1.0,-0.0018731680435344095,0.012821790850186062,0.0054304042215874305,0.0062503879190951624,0.0005439746832766503,0.012841783387282812,-0.013949786564377935
mcv_fl,-0.0005898745339729163,-0.008767197662100008,0.00026447314885478916,0.014310485386563454,-0.005387622064859049,0.0007106351333487532,0.008628465770496578,0.004787795760430508,0.0008701692288433492,-0.012297393018072663,-0.006523576770105124,-0.013206030402647449,-0.003073344925584098,0.014779093670948847,-0.0010244443261835218,0.024041222021629713,0.012084154686197123,-0.009352853295392906,-0.010232566000925921,-0.00712809835259619,-0.0018731680435344095,1.0,0.0036604708047948344,-0.009326369637418676,-0.010594097824952232,-0.0024086718752195655,-0.008101411381905064,0.0006125767741789045
mchc_g_dl,0.010143581845271482,-0.013320744748907315,-0.009155442779481625,0.0005748651803962813,0.007816750843128854,-0.03258337046646876,0.026749032272140573,-0.014681634682939902,0.0003732371401382123,0.002996435609570961,-0.010806674420729901,-0.010176700843335053,0.0023407691441831168,-0.013366411621921473,-0.009368672446379097,-0.0012568936933919801,-0.0058350004024579705,0.0027890836456524646,0.032462204214147465,0.026220978061379116,0.012821790850186062,0.0036604708047948344,1.0,-0.015080883446839449,0.01792246491670521,0.007165480280622793,-0.0007403899676185007,-0.012404843348890998
magnification_x,0.020501638184093427,-0.009207536391112627,-0.007073475090105986,-0.013293752471223858,0.004236372754090162,-0.02665497099760129,0.033732728734310914,-0.013059396521698586,-0.007771306633330118,2.1607734745107077e-05,-0.0019086270273431746,-0.005605347587188522,0.018433442937327568,-0.028252985343096827,-0.01447977497274652,0.00033723763318195153,0.007231294008772389,0.006766314489144791,-0.014246632174932942,9.852265625804503e-05,0.0054304042215874305,-0.009326369637418676,-0.015080883446839449,1.0,-0.002908971790910793,0.02003602452932974,0.0004922246198272845,-0.0220155783503334
image_resolution_px,-0.003344821014959463,-0.013110439620020085,-0.0004924034397231039,0.0015483368533509227,-0.00036806608369031245,-0.008694531763355889,0.010998038265345404,0.012421008873779981,0.00042545730086796863,-0.015740360406899308,-0.003792775014495747,-0.004242940036566187,-0.01539379238801676,0.006888344404519008,0.012463900496794857,0.0017677901700984182,0.0010982572487546068,0.013741042125706694,-0.006681271278461159,-0.004478784687815447,0.0062503879190951624,-0.010594097824952232,0.01792246491670521,-0.002908971790910793,1.0,-0.0043480596000715546,0.010623378681802164,-0.01320256458480506
cytodiffusion_anomaly_score,0.9817214014570083,0.03242854791191664,-0.04778545361406545,-0.22225063422166383,0.047917337779270756,-0.38618860264779625,0.3365958292984373,-0.2618795253347786,-0.07743899406597338,-0.14321342889709335,0.0999177817271608,0.18520866603694724,-0.051531882951794845,-0.21581339582398743,-0.10043149017997538,-0.04267006150332959,-0.015295225656361131,0.020478603227618485,0.0011729405192847982,0.0032946413868582846,0.0005439746832766503,-0.0024086718752195655,0.007165480280622793,0.02003602452932974,-0.0043480596000715546,1.0,-0.7067689572834093,-0.6223386197178613
cytodiffusion_classification_confidence,-0.7232147504723114,-0.028542154796649188,0.0315933595012965,0.16287758683720174,-0.03442440349221267,0.2672575547470068,-0.22836549326530486,0.19413236802115355,0.051649609312240316,0.09490440467980034,-0.08067035067895284,-0.1319202684115088,0.04082998330226749,0.150205302661673,0.07667016319474979,0.03532463586563999,0.017509854744494825,-0.020646728107108193,-0.0026371145799203707,0.020767890136299032,0.012841783387282812,-0.008101411381905064,-0.0007403899676185007,0.0004922246198272845,0.010623378681802164,-0.7067689572834093,1.0,0.4527796509831814
labeller_confidence_score,-0.6318326985840215,-0.02935225970221482,0.021581904188791984,0.14014466999233674,-0.021528739211321375,0.24387255224156704,-0.22242106142888116,0.15717162741904503,0.03999534666903358,0.1052024578925994,-0.06923456907665716,-0.12260365260229043,0.0371941086945482,0.13274205987964038,0.047330531332051534,0.031054286421759364,-0.003610767629965152,-0.020368472918266923,-0.005414707972250458,-0.010771085828019724,-0.013949786564377935,0.0006125767741789045,-0.012404843348890998,-0.0220155783503334,-0.01320256458480506,-0.6223386197178613,0.4527796509831814,1.0
