cell_id,count,ratio
CELL_000861,1,0.00017006802721088434
CELL_005371,1,0.00017006802721088434
CELL_005300,1,0.00017006802721088434
CELL_000200,1,0.00017006802721088434
CELL_003269,1,0.00017006802721088434
CELL_003505,1,0.00017006802721088434
CELL_005586,1,0.00017006802721088434
CELL_002345,1,0.00017006802721088434
CELL_001612,1,0.00017006802721088434
CELL_005756,1,0.00017006802721088434
CELL_002202,1,0.00017006802721088434
CELL_001832,1,0.00017006802721088434
CELL_005361,1,0.00017006802721088434
CELL_003318,1,0.00017006802721088434
CELL_003746,1,0.00017006802721088434
CELL_002863,1,0.00017006802721088434
CELL_003930,1,0.00017006802721088434
CELL_001651,1,0.00017006802721088434
CELL_003280,1,0.00017006802721088434
CELL_004086,1,0.00017006802721088434
CELL_003690,1,0.00017006802721088434
CELL_002689,1,0.00017006802721088434
CELL_002641,1,0.00017006802721088434
CELL_005435,1,0.00017006802721088434
CELL_001900,1,0.00017006802721088434
CELL_004659,1,0.00017006802721088434
CELL_003006,1,0.00017006802721088434
CELL_002735,1,0.00017006802721088434
CELL_000190,1,0.00017006802721088434
CELL_001807,1,0.00017006802721088434
CELL_000976,1,0.00017006802721088434
CELL_002748,1,0.00017006802721088434
CELL_005394,1,0.00017006802721088434
CELL_002889,1,0.00017006802721088434
CELL_000647,1,0.00017006802721088434
CELL_003891,1,0.00017006802721088434
CELL_003557,1,0.00017006802721088434
CELL_003203,1,0.00017006802721088434
CELL_001529,1,0.00017006802721088434
CELL_001268,1,0.00017006802721088434
CELL_002613,1,0.00017006802721088434
CELL_002825,1,0.00017006802721088434
CELL_002042,1,0.00017006802721088434
CELL_000242,1,0.00017006802721088434
CELL_002062,1,0.00017006802721088434
CELL_002364,1,0.00017006802721088434
CELL_000601,1,0.00017006802721088434
CELL_002436,1,0.00017006802721088434
CELL_003153,1,0.00017006802721088434
CELL_000035,1,0.00017006802721088434
CELL_004015,1,0.00017006802721088434
CELL_000776,1,0.00017006802721088434
CELL_002557,1,0.00017006802721088434
CELL_001479,1,0.00017006802721088434
CELL_005487,1,0.00017006802721088434
CELL_001364,1,0.00017006802721088434
CELL_001644,1,0.00017006802721088434
CELL_002806,1,0.00017006802721088434
CELL_001336,1,0.00017006802721088434
CELL_004447,1,0.00017006802721088434
CELL_002465,1,0.00017006802721088434
CELL_003401,1,0.00017006802721088434
CELL_001895,1,0.00017006802721088434
CELL_000808,1,0.00017006802721088434
CELL_003787,1,0.00017006802721088434
CELL_004826,1,0.00017006802721088434
CELL_004611,1,0.00017006802721088434
CELL_003810,1,0.00017006802721088434
CELL_004716,1,0.00017006802721088434
CELL_003470,1,0.00017006802721088434
CELL_003607,1,0.00017006802721088434
CELL_000784,1,0.00017006802721088434
CELL_001774,1,0.00017006802721088434
CELL_002527,1,0.00017006802721088434
CELL_002104,1,0.00017006802721088434
CELL_002742,1,0.00017006802721088434
CELL_004782,1,0.00017006802721088434
CELL_004699,1,0.00017006802721088434
CELL_002255,1,0.00017006802721088434
CELL_002719,1,0.00017006802721088434
CELL_001700,1,0.00017006802721088434
CELL_005187,1,0.00017006802721088434
CELL_003818,1,0.00017006802721088434
CELL_002628,1,0.00017006802721088434
CELL_004518,1,0.00017006802721088434
CELL_002795,1,0.00017006802721088434
CELL_001047,1,0.00017006802721088434
CELL_000507,1,0.00017006802721088434
CELL_005185,1,0.00017006802721088434
CELL_005545,1,0.00017006802721088434
CELL_005652,1,0.00017006802721088434
CELL_001345,1,0.00017006802721088434
CELL_001162,1,0.00017006802721088434
CELL_003086,1,0.00017006802721088434
CELL_002756,1,0.00017006802721088434
CELL_004393,1,0.00017006802721088434
CELL_002896,1,0.00017006802721088434
CELL_003619,1,0.00017006802721088434
CELL_005075,1,0.00017006802721088434
CELL_001804,1,0.00017006802721088434
CELL_004986,1,0.00017006802721088434
CELL_004827,1,0.00017006802721088434
CELL_001898,1,0.00017006802721088434
CELL_000747,1,0.00017006802721088434
CELL_000080,1,0.00017006802721088434
CELL_001110,1,0.00017006802721088434
CELL_004874,1,0.00017006802721088434
CELL_001790,1,0.00017006802721088434
CELL_004454,1,0.00017006802721088434
CELL_003962,1,0.00017006802721088434
CELL_000234,1,0.00017006802721088434
CELL_003608,1,0.00017006802721088434
CELL_001371,1,0.00017006802721088434
CELL_002837,1,0.00017006802721088434
CELL_001783,1,0.00017006802721088434
CELL_004676,1,0.00017006802721088434
CELL_001169,1,0.00017006802721088434
CELL_000813,1,0.00017006802721088434
CELL_004445,1,0.00017006802721088434
CELL_002852,1,0.00017006802721088434
CELL_003797,1,0.00017006802721088434
CELL_000264,1,0.00017006802721088434
CELL_000158,1,0.00017006802721088434
CELL_002214,1,0.00017006802721088434
CELL_004579,1,0.00017006802721088434
CELL_004511,1,0.00017006802721088434
CELL_000961,1,0.00017006802721088434
CELL_005546,1,0.00017006802721088434
CELL_002188,1,0.00017006802721088434
CELL_004568,1,0.00017006802721088434
CELL_003950,1,0.00017006802721088434
CELL_000627,1,0.00017006802721088434
CELL_002604,1,0.00017006802721088434
CELL_002459,1,0.00017006802721088434
CELL_001738,1,0.00017006802721088434
CELL_005791,1,0.00017006802721088434
CELL_005642,1,0.00017006802721088434
CELL_002523,1,0.00017006802721088434
CELL_004476,1,0.00017006802721088434
CELL_004074,1,0.00017006802721088434
CELL_000535,1,0.00017006802721088434
CELL_003185,1,0.00017006802721088434
CELL_003126,1,0.00017006802721088434
CELL_001210,1,0.00017006802721088434
CELL_004931,1,0.00017006802721088434
CELL_000297,1,0.00017006802721088434
CELL_004231,1,0.00017006802721088434
